passenger_id,age,gender,aadhaar_hash,email_masked,phone_masked,age_band
P1000,52,F,dbc976463c58cebc,v***@gmail.com,+91-XXXXX90,41-60
P1001,15,M,770d0e3801d16861,k***@hotmail.com,+91-XXXXX97,<18
P1002,72,M,d94d5c74b1b87dfe,m***@outlook.com,+91-XXXXX92,60+
P1003,61,F,c0365e092e3fd791,m***@hotmail.com,+91-XXXXX51,60+
P1004,21,M,e15e595420702d9c,s***@outlook.com,+91-XXXXX13,18-25
P1005,83,M,3e7cbdb10682f4fd,r***@gmail.com,+91-XXXXX18,60+
P1006,87,M,4c6df17148b70b73,k***@yahoo.com,+91-XXXXX30,60+
P1007,75,M,c762e9bd17ddd51c,s***@gmail.com,+91-XXXXX19,60+
P1008,75,M,83906cf41776b056,k***@gmail.com,+91-XXXXX00,60+
P1009,88,M,ba24b245313a65c9,s***@hotmail.com,+91-XXXXX19,60+
P1010,24,M,5350a097ced4ef90,s***@yahoo.com,+91-XXXXX90,18-25
P1011,3,M,2293ee73d4f77807,s***@yahoo.com,+91-XXXXX18,<18
P1012,22,M,af52bbe3cde66417,a***@yahoo.com,+91-XXXXX45,18-25
P1013,53,M,8ff3a9e6262425f3,s***@hotmail.com,+91-XXXXX98,41-60
P1014,2,F,61a34ddc31208a2c,a***@outlook.com,+91-XXXXX05,<18
P1015,88,F,cf5b2120add21412,a***@gmail.com,+91-XXXXX41,60+
P1016,30,M,85509ae30feb0c68,v***@rediffmail.com,+91-XXXXX26,26-40
P1017,38,F,da3098de17fce8e6,r***@rediffmail.com,+91-XXXXX76,26-40
P1018,2,F,250faf542f9929b6,i***@hotmail.com,+91-XXXXX20,<18
P1019,64,M,924217336dcbea80,d***@gmail.com,+91-XXXXX29,60+
P1020,60,M,bef416eac99f64a6,a***@yahoo.com,+91-XXXXX28,41-60
P1021,21,M,7d7a84f99f5d7f14,k***@yahoo.com,+91-XXXXX94,18-25
P1022,33,F,131c35adc96918bf,s***@outlook.com,+91-XXXXX77,26-40
P1023,76,F,beefa2aafcc1a4d7,a***@hotmail.com,+91-XXXXX73,60+
P1024,58,M,0d452c4028971903,v***@yahoo.com,+91-XXXXX41,41-60
P1025,22,M,386e0394a3459c9a,a***@yahoo.com,+91-XXXXX72,18-25
